Date,Open,High,Low,Close,Volume
2020-06-03,819.02,824.11,818.33,824.11,86061720.0
2020-06-04,824.29,831.49,824.29,824.29,138541432.0
2020-06-05,823.77,825.54,818.33,825.52,146111008.0
2020-06-08,826.47,845.63,826.47,839.99,168126480.0
2020-06-09,838.52,843.58,836.13,837.02,173892974.0
2020-06-10,836.81,842.21,827.6,839.5,160973232.0
2020-06-11,839.02,842.76,812.31,812.39,182533870.0
2020-06-12,802.16,805.13,782.7,803.66,185559498.0
2020-06-15,807.76,813.59,781.11,781.11,564189586.0
2020-06-16,779.8,801.42,779.8,798.88,106005991.0
2020-06-17,798.82,802.06,793.2,797.32,79484528.0
2020-06-18,795.84,800.03,788.72,799.54,66783232.0
2020-06-19,797.03,808.28,797.03,808.28,116225972.0
2020-06-22,808.58,812.99,805.24,809.97,74391984.0
2020-06-23,809.97,812.24,803.96,807.61,121318408.0
2020-06-24,807.9,813.47,799.35,801.62,78294112.0
2020-06-25,801.08,801.08,791.38,796.51,85327052.0
2020-06-26,796.51,803.88,793.08,795.53,73399944.0
2020-06-29,795.06,795.06,768.99,774.81,127684480.0
2020-06-30,775.45,784.44,765.62,770.53,94030896.0
2020-07-01,770.53,787.38,770.02,786.82,117322556.0
2020-07-02,786.82,788.88,781.45,785.59,85420534.0
2020-07-03,785.81,790.3,785.81,789.87,113166473.0
2020-07-06,789.87,803.76,789.87,803.46,78282682.0
2020-07-07,803.61,812.48,803.61,805.68,94570256.0
2020-07-08,805.68,807.09,801.57,805.06,76121228.0
2020-07-09,805.12,819.45,805.12,817.08,172258302.0
2020-07-10,816.76,817.67,806.67,809.02,88833720.0
2020-07-13,809.03,814.35,802.5,804.71,127556856.0
2020-07-14,806.17,806.17,798.21,805.37,124027752.0
2020-07-15,805.38,815.09,805.38,812.01,87070766.0
2020-07-16,810.16,812.42,809.41,811.25,59253490.0
2020-07-17,819.27,819.27,812.61,814.97,69033470.0
2020-07-20,814.0,814.0,804.13,804.52,71290440.0
2020-07-21,803.55,806.34,799.98,804.7,69400336.0
2020-07-22,804.26,806.93,797.82,797.85,84146400.0
